game,round,distFromTarget,distFromCentre,floatX,floatY,typeOfPest,timeVisable,noOfDistractions
0,1,13.648499,599.50714,93.74109,647.002,ferret,1000,0
0,2,9.861561,533.8929,135.6651,575.1796,rat,1000,1
0,3,8.9479,378.8241,263.90048,445.3525,cat,1000,2
0,4,19.447931,247.30788,394.75677,368.11044,ferret,1000,3
0,5,13.492455,353.1247,857.86786,122.09598,rat,500,0
0,6,17.060059,558.7666,124.350525,615.23413,ferret,500,1
0,7,39.5555,354.58347,312.48975,535.89136,ferret,500,2
0,8,21.292454,226.17342,413.82672,400.24963,cat,500,3
0,9,22.147963,468.3568,258.91907,127.72182,ferret,250,0
0,10,26.673838,194.94762,830.8796,360.3823,rat,250,1
0,11,19.825075,235.53697,729.2345,182.02094,rat,250,2
0,12,10.52845,295.4915,934.2565,426.98782,ferret,250,3
0,13,40.10112,478.1703,1117.3324,428.29465,magpie,125,0
0,14,29.41708,327.91122,344.62604,257.59216,rat,125,1
0,15,85.96919,426.08258,981.03735,655.421,rat,125,2
0,16,12.913163,212.31396,523.285,222.64491,ferret,125,3
0,17,32.31829,394.20804,245.9086,409.58902,ferret,75,0
0,18,37.24221,507.63556,1094.5765,625.9514,magpie,75,1
0,19,43.16805,256.6001,879.9739,490.86334,cat,75,2
0,20,313.2376,130.4175,522.03894,344.37704,ferret,75,3
0,21,18.781506,525.81665,114.26628,390.66107,rat,35,0
0,22,18.51012,567.2644,80.21373,308.1947,rat,35,1
0,23,57.482513,424.27017,398.3689,51.259987,cat,35,2
0,24,403.88937,309.5423,715.4526,99.79449,rat,35,3
0,1,8.169181,411.19067,288.93863,614.0881,rat,1000,0
0,2,7.5956855,291.37582,896.93646,262.58267,magpie,1000,1
0,3,25.03048,198.22122,453.21225,466.34747,cat,1000,2
0,4,36.682144,510.97745,160.38126,576.24927,rat,1000,3
0,5,19.247309,460.0903,235.61188,180.56134,ferret,500,0
0,6,21.767656,81.35136,638.50635,481.33765,ferret,500,1
0,7,21.19179,124.15935,758.1048,438.29883,rat,500,2
0,8,11.769279,141.95691,531.49365,308.46783,rat,500,3
0,9,15.331904,370.82443,274.82806,335.50024,ferret,250,0
0,10,9.218477,562.80493,82.612915,477.90402,rat,250,1
0,11,12.477505,298.34967,349.67996,331.24832,cat,250,2
0,12,24.070242,360.08936,648.8074,40.01838,cat,250,3
0,13,6.1721964,268.7066,737.223,650.50134,rat,125,0
0,14,27.243435,295.2189,413.76367,589.6611,ferret,125,1
0,15,41.557583,358.77478,474.854,81.49391,ferret,125,2
0,16,36.959393,354.63297,362.04834,620.244,cat,125,3
0,17,25.547356,106.16792,533.8424,401.48083,magpie,75,0
0,18,11.071651,320.91034,822.9473,136.34546,rat,75,1
0,19,11.598991,308.84814,333.31476,436.48755,cat,75,2
0,20,11.5758295,470.89926,1106.3142,465.55286,cat,75,3
0,21,17.490324,255.14229,854.1684,261.3296,cat,35,0
0,22,46.859367,441.88852,198.12581,403.55807,cat,35,1
0,23,44.18673,346.25836,814.92,101.17253,cat,35,2
0,24,18.845488,426.599,243.99414,241.36182,cat,35,3
0,1,2.9747183,218.12355,715.0312,195.1874,cat,1000,0
0,2,6.3649464,275.10583,793.95526,172.00659,cat,1000,1
0,3,14.964665,421.2492,264.94376,208.2092,rat,1000,2
0,4,25.989664,485.1258,1062.9838,162.44626,magpie,1000,3
0,5,13.811271,273.63364,544.6651,143.51099,magpie,500,0
0,6,101.48943,110.857834,529.3329,393.50006,ferret,500,1
0,7,686.9913,535.6293,133.4961,225.78015,magpie,500,2
0,8,40.13169,294.3786,890.3243,245.09192,rat,500,3
0,9,30.055792,150.97684,693.8276,541.0553,rat,250,0
0,10,128.56651,437.9486,238.60452,575.15894,cat,250,1
0,11,656.3653,303.65536,356.1314,507.82025,magpie,250,2
0,12,375.43607,247.69395,553.9164,632.25397,rat,250,3
0,13,10.272808,573.6609,93.394226,574.0947,magpie,125,0
0,14,198.57866,318.88232,795.66113,121.691666,magpie,125,1
0,15,640.48895,344.04437,324.07062,263.78265,magpie,125,2
0,16,44.138084,446.96173,193.14717,390.13458,magpie,125,3
0,17,795.1662,534.5445,127.30954,248.71765,rat,75,0
0,18,58.539642,95.22892,648.058,305.1126,ferret,75,1
0,19,231.42935,285.11737,357.98682,358.042,magpie,75,2
0,20,89.66036,291.98276,825.11926,174.2019,rat,75,3
0,21,60.831734,368.54303,274.23193,354.85922,magpie,35,0
0,22,19.577795,266.56387,373.44388,402.03232,rat,35,1
0,23,34.93386,365.35516,941.1943,606.8004,magpie,35,2
0,24,163.37808,427.0707,234.7044,534.62866,rat,35,3
0,1,16.384676,432.53076,207.55347,391.46463,ferret,1000,0
0,2,12.0849285,523.49945,1065.6868,95.29942,ferret,1000,1
0,3,27.45244,108.42422,718.1982,475.10562,magpie,1000,2
0,4,5.69983,173.57144,790.34753,313.26672,cat,1000,3
0,5,5.9211426,281.81653,778.984,645.1612,magpie,500,0
0,6,3.0026445,61.042473,644.97705,339.16077,rat,500,1
0,7,24.684252,466.9543,216.72113,202.81648,magpie,500,2
0,8,795.8049,507.59155,1077.3344,142.34161,rat,500,3
0,9,24.90307,139.58891,773.9877,360.8545,ferret,250,0
0,10,17.844124,253.65775,768.8416,181.50037,cat,250,1
0,11,877.10046,603.84076,122.12581,89.46826,cat,250,2
0,12,39.42137,480.98,1057.7815,638.32837,magpie,250,3
0,13,451.92538,241.69016,700.5523,633.98193,cat,125,0
0,14,3.7583385,554.99695,125.26953,192.45683,cat,125,1
0,15,16.826778,413.09174,1048.5984,339.23703,rat,125,2
0,16,276.48453,173.8791,805.44617,346.5069,magpie,125,3
0,17,717.3622,509.05817,1083.8268,649.31506,ferret,75,0
0,18,854.33795,347.3011,987.152,410.17636,magpie,75,1
0,19,482.6334,385.53946,273.37778,519.2846,rat,75,2
0,20,159.40688,272.41705,375.0783,463.46304,magpie,75,3
0,21,85.646614,336.65005,421.8614,143.58469,cat,35,0
0,22,52.624165,252.28305,485.62646,599.5383,magpie,35,1
0,23,21.600718,184.05264,614.06067,217.7844,cat,35,2
0,24,26.504595,286.19153,770.5432,145.31577,rat,35,3
0, 1, 5.6623783, 506.54376, 995.61865, 39.275757, magpie, 1000, 0
0, 2, 16.933918, 194.68591, 828.46106, 351.16318, cat, 1000, 1
0, 3, 6.5057616, 418.57776, 302.4403, 647.50916, magpie, 1000, 2
0, 4, 11.99001, 122.64977, 553.65625, 312.89246, magpie, 1000, 3
0, 5, 14.018314, 105.37392, 573.8384, 482.01404, magpie, 500, 0
0, 6, 188.05351, 462.57654, 1056.4697, 601.32074, rat, 500, 1
0, 7, 107.432945, 430.87378, 209.21507, 408.75, rat, 500, 2
0, 8, 433.90298, 396.77353, 1014.65015, 530.6388, ferret, 500, 3
0, 9, 813.2592, 279.28995, 919.2501, 395.28418, rat, 250, 0
0, 10, 56.93049, 387.2508, 892.82837, 106.67256, cat, 250, 1
0, 11, 686.9369, 361.6363, 1000.51465, 371.53952, rat, 250, 2
0, 12, 199.93187, 297.31638, 709.97046, 111.03433, ferret, 250, 3
0, 13, 190.47658, 366.42188, 954.7074, 587.6812, ferret, 125, 0
0, 14, 100.4006, 160.82224, 731.8264, 532.0292, magpie, 125, 1
0, 15, 186.11559, 432.7899, 1069.0562, 343.2734, ferret, 125, 2
0, 16, 518.779, 162.57086, 602.0593, 558.0816, ferret, 125, 3
0, 17, 12.419316, 319.18832, 957.66895, 431.10678, cat, 75, 0
0, 18, 31.290176, 184.95596, 730.914, 238.9306, cat, 75, 1
0, 19, 33.736286, 352.9935, 575.92737, 52.87017, cat, 75, 2
0, 20, 910.57556, 446.24677, 241.33984, 199.485, magpie, 75, 3
0, 21, 83.414566, 252.88185, 829.4472, 567.5082, magpie, 35, 0
0, 22, 41.45858, 286.56366, 394.2126, 547.3339, cat, 35, 1
0, 23, 269.7747, 357.54868, 902.14655, 643.14655, ferret, 35, 2
0, 24, 550.7542, 289.95975, 448.24777, 617.5034, rat, 35, 3

