game, round, distFromTarget, distFromCentre, floatX, floatY, typeOfPest, visableTime, noDistractions
0, 1, 5.6623783, 506.54376, 995.61865, 39.275757, magpie, 1000, 0
0, 2, 16.933918, 194.68591, 828.46106, 351.16318, cat, 1000, 1
0, 3, 6.5057616, 418.57776, 302.4403, 647.50916, magpie, 1000, 2
0, 4, 11.99001, 122.64977, 553.65625, 312.89246, magpie, 1000, 3
0, 5, 14.018314, 105.37392, 573.8384, 482.01404, magpie, 500, 0
0, 6, 188.05351, 462.57654, 1056.4697, 601.32074, rat, 500, 1
0, 7, 107.432945, 430.87378, 209.21507, 408.75, rat, 500, 2
0, 8, 433.90298, 396.77353, 1014.65015, 530.6388, ferret, 500, 3
0, 9, 813.2592, 279.28995, 919.2501, 395.28418, rat, 250, 0
0, 10, 56.93049, 387.2508, 892.82837, 106.67256, cat, 250, 1
0, 11, 686.9369, 361.6363, 1000.51465, 371.53952, rat, 250, 2
0, 12, 199.93187, 297.31638, 709.97046, 111.03433, ferret, 250, 3
0, 13, 190.47658, 366.42188, 954.7074, 587.6812, ferret, 125, 0
0, 14, 100.4006, 160.82224, 731.8264, 532.0292, magpie, 125, 1
0, 15, 186.11559, 432.7899, 1069.0562, 343.2734, ferret, 125, 2
0, 16, 518.779, 162.57086, 602.0593, 558.0816, ferret, 125, 3
0, 17, 12.419316, 319.18832, 957.66895, 431.10678, cat, 75, 0
0, 18, 31.290176, 184.95596, 730.914, 238.9306, cat, 75, 1
0, 19, 33.736286, 352.9935, 575.92737, 52.87017, cat, 75, 2
0, 20, 910.57556, 446.24677, 241.33984, 199.485, magpie, 75, 3
0, 21, 83.414566, 252.88185, 829.4472, 567.5082, magpie, 35, 0
0, 22, 41.45858, 286.56366, 394.2126, 547.3339, cat, 35, 1
0, 23, 269.7747, 357.54868, 902.14655, 643.14655, ferret, 35, 2
0, 24, 550.7542, 289.95975, 448.24777, 617.5034, rat, 35, 3
